[0, 0, 0, 0, 45.400787, 0.9864582]
[1, 6, 9, 0, 0, 45.403748, 0.9864582]
[1, 7, 4, 0, 0, 45.406704, 0.9864582]
[1, 7, 5, 4, 0, 45.43341, 0.9864582]
[1, 7, 6, 83, 84, 45.44235, 0.9864582]
[1, 7, 7, 184, 185, 45.439365, 0.9864582]
[1, 7, 8, 159, 159, 45.44235, 0.9864582]
[1, 7, 10, 61, 60, 45.451305, 0.98645824]
[1, 7, 12, 3, 0, 45.47228, 0.98645824]
[1, 7, 13, 3, 0, 45.493355, 0.9864583]
[1, 7, 14, 1, 0, 45.490337, 0.98645824]
[1, 7, 16, 3, 0, 45.5115, 0.98645824]
[1, 7, 17, 2, 0, 45.52668, 0.98645824]
[1, 7, 18, 0, 0, 45.52972, 0.98645824]
[1, 7, 19, 1, 0, 45.538864, 0.98645824]
[1, 7, 21, 6, 0, 45.578693, 0.98645824]
[1, 8, 3, 0, 0, 45.58177, 0.98645824]
[1, 8, 4, 0, 0, 45.584854, 0.98645824]
[1, 8, 6, 221, 222, 45.58177, 0.98645824]
[1, 8, 7, 251, 254, 45.603386, 0.98645824]
[1, 8, 9, 252, 254, 45.61889, 0.98645824]
[1, 8, 10, 252, 254, 45.63445, 0.98645824]
[1, 8, 11, 241, 241, 45.63757, 0.9864585]
[1, 8, 18, 198, 198, 45.640694, 0.98645836]
[1, 8, 19, 198, 198, 45.643814, 0.98645836]
[1, 8, 20, 170, 170, 45.646942, 0.98645836]
[1, 8, 21, 51, 52, 45.643814, 0.98645836]
[1, 8, 22, 0, 0, 45.646942, 0.98645836]
[1, 9, 4, 0, 0, 45.65007, 0.98645836]
[1, 9, 5, 2, 0, 45.66574, 0.98645836]
[1, 9, 8, 72, 72, 45.668884, 0.9864584]
[1, 9, 9, 114, 114, 45.672024, 0.98645836]
[1, 9, 11, 226, 227, 45.681473, 0.98645604]
[1, 9, 13, 226, 225, 45.690937, 0.9864662]
[1, 9, 14, 251, 254, 45.7131, 0.9864585]
[1, 9, 16, 252, 254, 45.729008, 0.9864563]
[1, 9, 17, 248, 250, 45.744965, 0.9864557]
[1, 9, 18, 229, 229, 45.748165, 0.98645586]
[1, 9, 19, 249, 254, 45.783512, 0.98645586]
[1, 9, 20, 253, 254, 45.793205, 0.9864558]
[1, 9, 21, 139, 140, 45.78997, 0.9864558]
[1, 9, 22, 1, 0, 45.79968, 0.9864558]
[1, 10, 4, 0, 0, 45.802917, 0.9864558]
[1, 10, 5, 1, 0, 45.81265, 0.9864558]
[1, 10, 6, 2, 0, 45.828922, 0.9864558]
[1, 10, 7, 2, 0, 45.845253, 0.9864558]
[1, 10, 8, 4, 0, 45.87481, 0.986456]
[1, 10, 9, 3, 0, 45.897938, 0.98645675]
[1, 10, 10, 0, 0, 45.90125, 0.98646086]
[1, 10, 11, 18, 17, 45.911205, 0.9864767]
[1, 10, 12, 66, 66, 45.91453, 0.9864417]
[1, 10, 14, 68, 67, 45.911205, 0.98638386]
[1, 10, 16, 67, 67, 45.91453, 0.986399]
[1, 10, 17, 59, 59, 45.91786, 0.9863951]
[1, 10, 18, 21, 21, 45.92119, 0.9863959]
[1, 10, 20, 252, 254, 45.93787, 0.98639596]
[1, 10, 22, 0, 0, 45.94122, 0.98639596]
[1, 11, 5, 0, 0, 45.944565, 0.98639596]
[1, 11, 7, 0, 0, 45.947914, 0.98639596]
[1, 11, 8, 1, 0, 45.95798, 0.9863962]
[1, 11, 9, 3, 0, 45.981556, 0.9863992]
[1, 11, 10, 2, 0, 45.998474, 0.98641604]
[1, 11, 11, 0, 0, 46.001865, 0.98647386]
[1, 11, 12, 0, 0, 46.005257, 0.9866143]
[1, 11, 13, 0, 0, 46.00865, 0.9868319]
[1, 11, 15, 3, 0, 46.032505, 0.9869914]
[1, 11, 16, 1, 0, 46.04277, 0.9870512]
[1, 11, 17, 4, 0, 46.073704, 0.98706913]
[1, 11, 18, 83, 83, 46.07716, 0.9870666]
[1, 11, 19, 250, 253, 46.10139, 0.98706645]
[1, 12, 8, 0, 0, 46.104862, 0.9870671]
[1, 12, 15, 2, 0, 46.12227, 0.9874346]
[1, 12, 16, 3, 0, 46.146755, 0.9875915]
[1, 12, 18, 235, 233, 46.136246, 0.9875853]
[1, 12, 19, 251, 255, 46.167854, 0.9875847]
[1, 12, 21, 3, 0, 46.1926, 0.9875847]
[1, 13, 14, 2, 0, 46.210365, 0.98845845]
[1, 13, 15, 2, 0, 46.2282, 0.98900586]
[1, 13, 16, 2, 0, 46.24611, 0.9892281]
[1, 13, 18, 250, 254, 46.278534, 0.98922175]
[1, 13, 19, 238, 238, 46.28215, 0.98922086]
[1, 14, 13, 0, 0, 46.28577, 0.9899669]
[1, 14, 14, 2, 0, 46.30392, 0.99076957]
[1, 14, 15, 5, 0, 46.344116, 0.9913494]
[1, 14, 18, 254, 254, 46.34779, 0.99134177]
[1, 14, 20, 4, 0, 46.380985, 0.9913418]
[1, 15, 7, 0, 0, 46.38469, 0.9913419]
[1, 15, 8, 1, 0, 46.395817, 0.9913425]
[1, 15, 9, 2, 0, 46.414433, 0.99134827]
[1, 15, 12, 1, 0, 46.42564, 0.9916472]
[1, 15, 13, 1, 0, 46.43688, 0.99210423]
